exp_id,task,config,dataset,edge,ratio,road_thresh,itsc_thresh,topo_thresh,road_nms,itsc_nms,nbr_radius,max_nbr_q,APLS,TOPO_Pre,TOPO_Rec,TOPO_F1
exp_base_ext,extraction,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0,0.341,0.195,0.705,16,8,64,16,0.6970925224719101,0.9132612448394168,0.7074110557168847,0.7972630878375706
exp_base_upd,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16,0.7691518599439776,0.9651212822783156,0.7078066808719201,0.8166750828432644
exp_base_full,full,config/toponet_vitb_256_spacenet.yaml,spacenet,2,1,0.341,0.195,0.705,16,8,64,16,0.9197680532212885,0.971734981335301,0.9026564147097986,0.9359227919536514
exp_edge_02,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16,0.7689975070028011,0.9651212822783156,0.7078066808719201,0.8166750828432644
exp_edge_04,update,config/toponet_vitb_256_spacenet.yaml,spacenet,4,0.5,0.341,0.195,0.705,16,8,64,16,0.7616086963788301,0.9687063841961704,0.7002926146900134,0.8129159179943958
exp_edge_06,update,config/toponet_vitb_256_spacenet.yaml,spacenet,6,0.5,0.341,0.195,0.705,16,8,64,16,0.7711947675070027,0.9731963693515243,0.6933686841839234,0.8097900344644247
exp_edge_08,update,config/toponet_vitb_256_spacenet.yaml,spacenet,8,0.5,0.341,0.195,0.705,16,8,64,16,0.7687718212290502,0.9762909374826416,0.6944195556059405,0.811577495626416
exp_edge_10,update,config/toponet_vitb_256_spacenet.yaml,spacenet,10,0.5,0.341,0.195,0.705,16,8,64,16,0.7596164206128133,0.9712491615526964,0.6946962150765744,0.8100182945879423
exp_edge_12,update,config/toponet_vitb_256_spacenet.yaml,spacenet,12,0.5,0.341,0.195,0.705,16,8,64,16,0.7675362212885155,0.9726613986470862,0.6864146694293505,0.8048444134247732
exp_edge_14,update,config/toponet_vitb_256_spacenet.yaml,spacenet,14,0.5,0.341,0.195,0.705,16,8,64,16,0.769265787114846,0.9752702500062692,0.691395484773417,0.8091573891717531
exp_edge_16,update,config/toponet_vitb_256_spacenet.yaml,spacenet,16,0.5,0.341,0.195,0.705,16,8,64,16,0.7714611344537814,0.9750509200499285,0.6913901902136543,0.8090782649675381
exp_ratio_0.25,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.25,0.341,0.195,0.705,16,8,64,16,0.690900059659091,0.958899599265357,0.6042023831435783,0.741307259016677
exp_ratio_0.75,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.75,0.341,0.195,0.705,16,8,64,16,0.8297869636871508,0.9704401002129581,0.7789356772901579,0.8642058801200736
exp_nms_r8,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,8,8,64,16,0.7599536974789917,0.946036483859479,0.7419417582660108,0.8316504972654909
exp_nms_r32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,32,8,64,16,0.5164614548022599,0.9835376979331139,0.33532119647417274,0.5001308920111616
exp_nms_i4,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,4,64,16,0.768877756302521,0.9651212822783156,0.7078066808719201,0.8166750828432644
exp_nms_i16,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,16,64,16,0.7689777899159664,0.9651212822783156,0.7078066808719201,0.8166750828432644
exp_nbr_r32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,32,16,0.7361287198879553,0.9721047679994791,0.6717264814959746,0.7944714710274241
exp_nbr_r128,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,128,16,0.7720946666666666,0.9633607034765999,0.7112152005304723,0.8183048308133223
exp_nbr_q8,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,8,0.760124974789916,0.9652557593806533,0.7002079646932035,0.8116415397281235
exp_nbr_q32,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,32,0.7692926162464987,0.9651222081283513,0.7081128082058323,0.8168791477444036

exp_r25_base,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.25,0.341,0.195,0.705,16,8,64,16,0.6906339829545455,0.958899599265357,0.6042023831435783,0.741307259016677
exp_r25_th_mid,update,config/toponet_vitb_256_spacenet.yaml,spacenet,2,0.25,0.250,0.150,0.500,16,8,64,16,0.7016363089887641,0.9461722988737491,0.6397558579794159,0.7633627894764414
