exp_id,task,config,dataset,edge,ratio,road_thresh,itsc_thresh,topo_thresh,road_nms,itsc_nms,nbr_radius,max_nbr_q
exp_base_ext,extraction,config/toponet_vitb_256.yaml,spacenet,2,0,0.341,0.195,0.705,16,8,64,16
exp_base_upd,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16
exp_base_full,full,config/toponet_vitb_256.yaml,spacenet,2,1,0.341,0.195,0.705,16,8,64,16
exp_edge_02,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,16
exp_edge_04,update,config/toponet_vitb_256.yaml,spacenet,4,0.5,0.341,0.195,0.705,16,8,64,16
exp_edge_08,update,config/toponet_vitb_256.yaml,spacenet,8,0.5,0.341,0.195,0.705,16,8,64,16
exp_edge_16,update,config/toponet_vitb_256.yaml,spacenet,16,0.5,0.341,0.195,0.705,16,8,64,16
exp_ratio_0.25,update,config/toponet_vitb_256.yaml,spacenet,2,0.25,0.341,0.195,0.705,16,8,64,16
exp_ratio_0.75,update,config/toponet_vitb_256.yaml,spacenet,2,0.75,0.341,0.195,0.705,16,8,64,16
exp_nms_r8,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,8,8,64,16
exp_nms_r32,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,32,8,64,16
exp_nms_i4,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,4,64,16
exp_nms_i16,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,16,64,16
exp_nbr_r32,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,32,16
exp_nbr_r128,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,128,16
exp_nbr_q8,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,8
exp_nbr_q32,update,config/toponet_vitb_256.yaml,spacenet,2,0.5,0.341,0.195,0.705,16,8,64,32
