SAM-Road Training Log - 2026-06-25 01:58:49
Epoch 0 val:, val_mask_loss=0.7432, val_topo_loss=0.8733, val_loss=1.6165
Epoch 0: 1/1060, train_mask_loss=0.7425, train_topo_loss=0.8651, train_loss=1.6076
Epoch 0: 2/1060, train_mask_loss=0.7362, train_topo_loss=0.6478, train_loss=1.3841
Epoch 0: 3/1060, train_mask_loss=0.7268, train_topo_loss=0.5424, train_loss=1.2692
Epoch 0: 4/1060, train_mask_loss=0.7156, train_topo_loss=0.5174, train_loss=1.2330
Epoch 0: 5/1060, train_mask_loss=0.7020, train_topo_loss=0.5088, train_loss=1.2108
Epoch 0: 6/1060, train_mask_loss=0.6885, train_topo_loss=0.4524, train_loss=1.1409
Epoch 0: 7/1060, train_mask_loss=0.6723, train_topo_loss=0.4556, train_loss=1.1279
Epoch 0: 8/1060, train_mask_loss=0.6524, train_topo_loss=0.4186, train_loss=1.0710
Epoch 0: 9/1060, train_mask_loss=0.6310, train_topo_loss=0.3980, train_loss=1.0290
Epoch 0: 10/1060, train_mask_loss=0.6072, train_topo_loss=0.3510, train_loss=0.9582
Epoch 0: 11/1060, train_mask_loss=0.5768, train_topo_loss=0.3658, train_loss=0.9426
Epoch 0: 12/1060, train_mask_loss=0.5486, train_topo_loss=0.2609, train_loss=0.8095
Epoch 0: 13/1060, train_mask_loss=0.5180, train_topo_loss=0.2580, train_loss=0.7760
Epoch 0: 14/1060, train_mask_loss=0.4817, train_topo_loss=0.3016, train_loss=0.7833
Epoch 0: 15/1060, train_mask_loss=0.4502, train_topo_loss=0.3339, train_loss=0.7841
Epoch 0: 16/1060, train_mask_loss=0.4100, train_topo_loss=0.2826, train_loss=0.6926
Epoch 0: 17/1060, train_mask_loss=0.3776, train_topo_loss=0.3019, train_loss=0.6795
Epoch 0: 18/1060, train_mask_loss=0.3462, train_topo_loss=0.2552, train_loss=0.6013
Epoch 0: 19/1060, train_mask_loss=0.2970, train_topo_loss=0.2411, train_loss=0.5381
Epoch 0: 20/1060, train_mask_loss=0.2813, train_topo_loss=0.3250, train_loss=0.6064
Epoch 0: 21/1060, train_mask_loss=0.2577, train_topo_loss=0.3141, train_loss=0.5718
Epoch 0: 22/1060, train_mask_loss=0.2212, train_topo_loss=0.2228, train_loss=0.4440
Epoch 0: 23/1060, train_mask_loss=0.1938, train_topo_loss=0.2724, train_loss=0.4661
Epoch 0: 24/1060, train_mask_loss=0.1975, train_topo_loss=0.3135, train_loss=0.5110
Epoch 0: 25/1060, train_mask_loss=0.1518, train_topo_loss=0.2200, train_loss=0.3718
Epoch 0: 26/1060, train_mask_loss=0.1427, train_topo_loss=0.1996, train_loss=0.3423
Epoch 0: 27/1060, train_mask_loss=0.1526, train_topo_loss=0.1754, train_loss=0.3280
Epoch 0: 28/1060, train_mask_loss=0.1212, train_topo_loss=0.4607, train_loss=0.5819
Epoch 0: 29/1060, train_mask_loss=0.1243, train_topo_loss=0.1958, train_loss=0.3200
Epoch 0: 30/1060, train_mask_loss=0.1431, train_topo_loss=0.2766, train_loss=0.4198
