SAM-Road Training Log - 2026-06-13 21:01:07
Epoch 0 val:, val_mask_loss=0.7446, val_topo_loss=0.6654, val_loss=1.4100
Epoch 0: 1/5292, train_mask_loss=0.7455, train_topo_loss=0.6653, train_loss=1.4108
Epoch 0: 2/5292, train_mask_loss=0.7363, train_topo_loss=0.6707, train_loss=1.4070
Epoch 0: 3/5292, train_mask_loss=0.7298, train_topo_loss=0.5412, train_loss=1.2710
Epoch 0: 4/5292, train_mask_loss=0.7164, train_topo_loss=0.5328, train_loss=1.2493
Epoch 0: 5/5292, train_mask_loss=0.7095, train_topo_loss=0.5246, train_loss=1.2341
Epoch 0: 6/5292, train_mask_loss=0.6994, train_topo_loss=0.4875, train_loss=1.1869
Epoch 0: 7/5292, train_mask_loss=0.6846, train_topo_loss=0.4495, train_loss=1.1341
Epoch 0: 8/5292, train_mask_loss=0.6728, train_topo_loss=0.4019, train_loss=1.0748
Epoch 0: 9/5292, train_mask_loss=0.6572, train_topo_loss=0.4164, train_loss=1.0736
Epoch 0: 10/5292, train_mask_loss=0.6405, train_topo_loss=0.3742, train_loss=1.0147
Epoch 0: 11/5292, train_mask_loss=0.6267, train_topo_loss=0.3341, train_loss=0.9609
Epoch 0: 12/5292, train_mask_loss=0.6065, train_topo_loss=0.2908, train_loss=0.8973
Epoch 0: 13/5292, train_mask_loss=0.5861, train_topo_loss=0.2872, train_loss=0.8733
Epoch 0: 14/5292, train_mask_loss=0.5677, train_topo_loss=0.2587, train_loss=0.8264
Epoch 0: 15/5292, train_mask_loss=0.5477, train_topo_loss=0.2896, train_loss=0.8373
Epoch 0: 16/5292, train_mask_loss=0.5183, train_topo_loss=0.2918, train_loss=0.8101
Epoch 0: 17/5292, train_mask_loss=0.5033, train_topo_loss=0.2811, train_loss=0.7844
Epoch 0: 18/5292, train_mask_loss=0.4795, train_topo_loss=0.2145, train_loss=0.6940
Epoch 0: 19/5292, train_mask_loss=0.4691, train_topo_loss=0.2020, train_loss=0.6711
Epoch 0: 20/5292, train_mask_loss=0.4486, train_topo_loss=0.2520, train_loss=0.7006
Epoch 0: 21/5292, train_mask_loss=0.4109, train_topo_loss=0.2673, train_loss=0.6781
Epoch 0: 22/5292, train_mask_loss=0.3912, train_topo_loss=0.2796, train_loss=0.6708
Epoch 0: 23/5292, train_mask_loss=0.3797, train_topo_loss=0.2304, train_loss=0.6101
Epoch 0: 24/5292, train_mask_loss=0.3447, train_topo_loss=0.2235, train_loss=0.5683
Epoch 0: 25/5292, train_mask_loss=0.3584, train_topo_loss=0.3293, train_loss=0.6877
Epoch 0: 26/5292, train_mask_loss=0.3432, train_topo_loss=0.2675, train_loss=0.6107
Epoch 0: 27/5292, train_mask_loss=0.3260, train_topo_loss=0.2419, train_loss=0.5680
Epoch 0: 28/5292, train_mask_loss=0.2748, train_topo_loss=0.1995, train_loss=0.4743
Epoch 0: 29/5292, train_mask_loss=0.2686, train_topo_loss=0.3013, train_loss=0.5699
Epoch 0: 30/5292, train_mask_loss=0.2637, train_topo_loss=0.2395, train_loss=0.5032
Epoch 0: 31/5292, train_mask_loss=0.2618, train_topo_loss=0.2148, train_loss=0.4766
Epoch 0: 32/5292, train_mask_loss=0.2562, train_topo_loss=0.2423, train_loss=0.4985
Epoch 0: 33/5292, train_mask_loss=0.2380, train_topo_loss=0.2579, train_loss=0.4959
Epoch 0: 34/5292, train_mask_loss=0.2089, train_topo_loss=0.2079, train_loss=0.4167
Epoch 0: 35/5292, train_mask_loss=0.1824, train_topo_loss=0.1714, train_loss=0.3538
Epoch 0: 36/5292, train_mask_loss=0.1919, train_topo_loss=0.2016, train_loss=0.3935
